global_rank_accuracy,global_rank_macro_f1,model_rank_accuracy,model_rank_macro_f1,model_name,run_group,input_scheme,run_name,run_dir,completed_epoch,total_epochs,best_epoch,best_val_macro_f1,status,batch_size,learning_rate,min_learning_rate,weight_decay,scheduler,early_stopping,checkpoint_interval,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,test_loss,all_data_loss,metrics_path,confusion_matrix_path,confusion_matrix_image_path
1,1,1,1,efficientnet_v2_s,efficientnet,multibranch_13lead_individual,20260622_033048_efficientnet_v2_s_multibranch_13lead_individual_all_data,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9989224137931034,0.9989270386266095,0.9987377279102384,0.9985549132947977,0.9989270386266095,,0.010830259143278516,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/plots/all_data_confusion_matrix.png
2,2,1,1,densenet201,densenet,multibranch_13lead_individual,densenet201_multibranch_13lead_individual_all_data,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9892241379310345,0.9885189970042834,0.9885611684405206,0.9886882780430271,0.9885189970042834,,0.03834765044779613,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_232928_densenet201_multibranch_13lead_individual/plots/all_data_confusion_matrix.png
3,3,1,1,mobilenet_v2,mobilenet,multibranch_13lead_individual,20260621_210532_mobilenet_v2_multibranch_13lead_individual_all_data,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9859913793103449,0.9855059382988222,0.9859610981800337,0.9866602524021069,0.9855059382988222,,0.0356615063702238,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/plots/all_data_confusion_matrix.png
4,4,2,2,densenet201,densenet,stacked_13lead_individual,20260626_055149_densenet201_stacked_13lead_individual_all_data,runs/all_data_eval/densenet/20260626_055149_densenet201_stacked_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9816810344827587,0.9802375486575506,0.9814837871488118,0.9832266477003319,0.9802375486575506,,0.06846013922115853,runs/all_data_eval/densenet/20260626_055149_densenet201_stacked_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260626_055149_densenet201_stacked_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260626_055149_densenet201_stacked_13lead_individual/plots/all_data_confusion_matrix.png
5,5,2,2,mobilenet_v2,mobilenet,single_clean_image,20260621_184656_mobilenet_v2_single_clean_image_all_data,runs/all_data_eval/mobilenet/20260621_184656_mobilenet_v2_single_clean_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9806034482758621,0.9812972095313677,0.9812987477271536,0.981495904705987,0.9812972095313677,,0.06523322763627973,runs/all_data_eval/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/plots/all_data_confusion_matrix.png
6,6,2,2,efficientnet_v2_s,efficientnet,stacked_13lead_individual,20260622_061523_efficientnet_v2_s_stacked_13lead_individual_all_data,runs/all_data_eval/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9795258620689655,0.9790681700584788,0.9795094852768079,0.9801947351607275,0.9790681700584788,,0.09901426128786185,runs/all_data_eval/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/plots/all_data_confusion_matrix.png
7,7,3,3,mobilenet_v2,mobilenet,stacked_13lead_individual,20260621_231004_mobilenet_v2_stacked_13lead_individual_all_data,runs/all_data_eval/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9773706896551724,0.9751846491665835,0.9766566942533969,0.9786703816115581,0.9751846491665835,,0.14494560915848304,runs/all_data_eval/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/metrics/all_data_metrics.json,runs/all_data_eval/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/plots/all_data_confusion_matrix.png
8,8,1,1,resnet50,resnet,single_raw_image,20260622_013326_resnet50_single_raw_image_all_data,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9730603448275862,0.9703569045615146,0.9709770625225137,0.9721610892913574,0.9703569045615146,,0.13685709443585625,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image/metrics/all_data_metrics.json,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/resnet/20260622_013326_resnet50_single_raw_image/plots/all_data_confusion_matrix.png
10,9,4,3,densenet201,densenet,single_clean_image,20260622_195751_densenet201_single_clean_image_all_data,runs/all_data_eval/densenet/20260622_195751_densenet201_single_clean_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9676724137931034,0.9652075878448663,0.9674713345826403,0.9716164644950253,0.9652075878448663,,0.08581769633395918,runs/all_data_eval/densenet/20260622_195751_densenet201_single_clean_image/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_195751_densenet201_single_clean_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_195751_densenet201_single_clean_image/plots/all_data_confusion_matrix.png
9,10,3,4,densenet201,densenet,single_raw_image,20260622_192903_densenet201_single_raw_image_all_data,runs/all_data_eval/densenet/20260622_192903_densenet201_single_raw_image,,50,,,unknown,8,0.0001,1e-06,1e-05,cosine,False,10,0.9698275862068966,0.9692250217544411,0.967066759405469,0.9653146623871892,0.9692250217544411,,0.12647031992673874,runs/all_data_eval/densenet/20260622_192903_densenet201_single_raw_image/metrics/all_data_metrics.json,runs/all_data_eval/densenet/20260622_192903_densenet201_single_raw_image/metrics/all_data_confusion_matrix.csv,runs/all_data_eval/densenet/20260622_192903_densenet201_single_raw_image/plots/all_data_confusion_matrix.png
