group,hash,group_size,file_name,relative_path,all_duplicate_files_in_group
1,034d8e4892602f424bd3fac91369e6cd,2,Normal(147).jpg,data/raw/ECG_Normal/Normal(147).jpg,data/raw/ECG_Normal/Normal(147).jpg | data/raw/ECG_Normal/Normal(5).jpg
1,034d8e4892602f424bd3fac91369e6cd,2,Normal(5).jpg,data/raw/ECG_Normal/Normal(5).jpg,data/raw/ECG_Normal/Normal(147).jpg | data/raw/ECG_Normal/Normal(5).jpg
2,03713b3503588f7d2419efb43ca5da88,2,Normal(238).jpg,data/raw/ECG_Normal/Normal(238).jpg,data/raw/ECG_Normal/Normal(238).jpg | data/raw/ECG_Normal/Normal(96).jpg
2,03713b3503588f7d2419efb43ca5da88,2,Normal(96).jpg,data/raw/ECG_Normal/Normal(96).jpg,data/raw/ECG_Normal/Normal(238).jpg | data/raw/ECG_Normal/Normal(96).jpg
3,04f3cc318540628330dc3d0c09cf2cf6,2,Normal(144).jpg,data/raw/ECG_Normal/Normal(144).jpg,data/raw/ECG_Normal/Normal(144).jpg | data/raw/ECG_Normal/Normal(2).jpg
3,04f3cc318540628330dc3d0c09cf2cf6,2,Normal(2).jpg,data/raw/ECG_Normal/Normal(2).jpg,data/raw/ECG_Normal/Normal(144).jpg | data/raw/ECG_Normal/Normal(2).jpg
4,057158233c6311411a3878b9c430fa02,2,Normal(177).jpg,data/raw/ECG_Normal/Normal(177).jpg,data/raw/ECG_Normal/Normal(177).jpg | data/raw/ECG_Normal/Normal(35).jpg
4,057158233c6311411a3878b9c430fa02,2,Normal(35).jpg,data/raw/ECG_Normal/Normal(35).jpg,data/raw/ECG_Normal/Normal(177).jpg | data/raw/ECG_Normal/Normal(35).jpg
5,05c4b3a2f46fc244f8fddd4f2e1fa5d1,2,Normal(134).jpg,data/raw/ECG_Normal/Normal(134).jpg,data/raw/ECG_Normal/Normal(134).jpg | data/raw/ECG_Normal/Normal(276).jpg
5,05c4b3a2f46fc244f8fddd4f2e1fa5d1,2,Normal(276).jpg,data/raw/ECG_Normal/Normal(276).jpg,data/raw/ECG_Normal/Normal(134).jpg | data/raw/ECG_Normal/Normal(276).jpg
6,070fd697a418d3723c9ab886b79c2cd7,2,Normal(216).jpg,data/raw/ECG_Normal/Normal(216).jpg,data/raw/ECG_Normal/Normal(216).jpg | data/raw/ECG_Normal/Normal(74).jpg
6,070fd697a418d3723c9ab886b79c2cd7,2,Normal(74).jpg,data/raw/ECG_Normal/Normal(74).jpg,data/raw/ECG_Normal/Normal(216).jpg | data/raw/ECG_Normal/Normal(74).jpg
7,087229a165c30dbe751567393acfc610,8,MI(102).jpg,data/raw/ECG_MI/MI(102).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(12).jpg,data/raw/ECG_MI/MI(12).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(132).jpg,data/raw/ECG_MI/MI(132).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(162).jpg,data/raw/ECG_MI/MI(162).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(192).jpg,data/raw/ECG_MI/MI(192).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(222).jpg,data/raw/ECG_MI/MI(222).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(42).jpg,data/raw/ECG_MI/MI(42).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
7,087229a165c30dbe751567393acfc610,8,MI(72).jpg,data/raw/ECG_MI/MI(72).jpg,data/raw/ECG_MI/MI(102).jpg | data/raw/ECG_MI/MI(12).jpg | data/raw/ECG_MI/MI(132).jpg | data/raw/ECG_MI/MI(162).jpg | data/raw/ECG_MI/MI(192).jpg | data/raw/ECG_MI/MI(222).jpg | data/raw/ECG_MI/MI(42).jpg | data/raw/ECG_MI/MI(72).jpg
8,08a60ed2d11fcb88a9252fee8441ae77,2,Normal(227).jpg,data/raw/ECG_Normal/Normal(227).jpg,data/raw/ECG_Normal/Normal(227).jpg | data/raw/ECG_Normal/Normal(85).jpg
8,08a60ed2d11fcb88a9252fee8441ae77,2,Normal(85).jpg,data/raw/ECG_Normal/Normal(85).jpg,data/raw/ECG_Normal/Normal(227).jpg | data/raw/ECG_Normal/Normal(85).jpg
9,0a71d32bd9b8a6fbe39eee80cf0620ec,2,Normal(193).jpg,data/raw/ECG_Normal/Normal(193).jpg,data/raw/ECG_Normal/Normal(193).jpg | data/raw/ECG_Normal/Normal(51).jpg
9,0a71d32bd9b8a6fbe39eee80cf0620ec,2,Normal(51).jpg,data/raw/ECG_Normal/Normal(51).jpg,data/raw/ECG_Normal/Normal(193).jpg | data/raw/ECG_Normal/Normal(51).jpg
10,0bc34638158cae6fc96b5612cba2e473,2,Normal(138).jpg,data/raw/ECG_Normal/Normal(138).jpg,data/raw/ECG_Normal/Normal(138).jpg | data/raw/ECG_Normal/Normal(280).jpg
10,0bc34638158cae6fc96b5612cba2e473,2,Normal(280).jpg,data/raw/ECG_Normal/Normal(280).jpg,data/raw/ECG_Normal/Normal(138).jpg | data/raw/ECG_Normal/Normal(280).jpg
11,0c182072f5d046e6002902f5ceca25e9,2,Normal(209).jpg,data/raw/ECG_Normal/Normal(209).jpg,data/raw/ECG_Normal/Normal(209).jpg | data/raw/ECG_Normal/Normal(67).jpg
11,0c182072f5d046e6002902f5ceca25e9,2,Normal(67).jpg,data/raw/ECG_Normal/Normal(67).jpg,data/raw/ECG_Normal/Normal(209).jpg | data/raw/ECG_Normal/Normal(67).jpg
12,0d6659d64b301a47f86b8ecfd2be14ee,2,PMI(116).jpg,data/raw/ECG_HistoryMI/PMI(116).jpg,data/raw/ECG_HistoryMI/PMI(116).jpg | data/raw/ECG_HistoryMI/PMI(30).jpg
12,0d6659d64b301a47f86b8ecfd2be14ee,2,PMI(30).jpg,data/raw/ECG_HistoryMI/PMI(30).jpg,data/raw/ECG_HistoryMI/PMI(116).jpg | data/raw/ECG_HistoryMI/PMI(30).jpg
13,0dcb19ca9bc885746b57c2f8d416bafb,2,Normal(208).jpg,data/raw/ECG_Normal/Normal(208).jpg,data/raw/ECG_Normal/Normal(208).jpg | data/raw/ECG_Normal/Normal(66).jpg
13,0dcb19ca9bc885746b57c2f8d416bafb,2,Normal(66).jpg,data/raw/ECG_Normal/Normal(66).jpg,data/raw/ECG_Normal/Normal(208).jpg | data/raw/ECG_Normal/Normal(66).jpg
14,0e0d0c48dc64c3f471918c19fcf12c99,2,PMI(127).jpg,data/raw/ECG_HistoryMI/PMI(127).jpg,data/raw/ECG_HistoryMI/PMI(127).jpg | data/raw/ECG_HistoryMI/PMI(41).jpg
14,0e0d0c48dc64c3f471918c19fcf12c99,2,PMI(41).jpg,data/raw/ECG_HistoryMI/PMI(41).jpg,data/raw/ECG_HistoryMI/PMI(127).jpg | data/raw/ECG_HistoryMI/PMI(41).jpg
15,0e59b750be935f63a29bd7b3ef72a52d,2,PMI(165).jpg,data/raw/ECG_HistoryMI/PMI(165).jpg,data/raw/ECG_HistoryMI/PMI(165).jpg | data/raw/ECG_HistoryMI/PMI(79).jpg
15,0e59b750be935f63a29bd7b3ef72a52d,2,PMI(79).jpg,data/raw/ECG_HistoryMI/PMI(79).jpg,data/raw/ECG_HistoryMI/PMI(165).jpg | data/raw/ECG_HistoryMI/PMI(79).jpg
16,0fc6054fb0000225f33febec01d79578,2,PMI(171).jpg,data/raw/ECG_HistoryMI/PMI(171).jpg,data/raw/ECG_HistoryMI/PMI(171).jpg | data/raw/ECG_HistoryMI/PMI(85).jpg
16,0fc6054fb0000225f33febec01d79578,2,PMI(85).jpg,data/raw/ECG_HistoryMI/PMI(85).jpg,data/raw/ECG_HistoryMI/PMI(171).jpg | data/raw/ECG_HistoryMI/PMI(85).jpg
17,10488be83ef979faa05c6e82ecf30f28,2,Normal(206).jpg,data/raw/ECG_Normal/Normal(206).jpg,data/raw/ECG_Normal/Normal(206).jpg | data/raw/ECG_Normal/Normal(64).jpg
17,10488be83ef979faa05c6e82ecf30f28,2,Normal(64).jpg,data/raw/ECG_Normal/Normal(64).jpg,data/raw/ECG_Normal/Normal(206).jpg | data/raw/ECG_Normal/Normal(64).jpg
18,121c04792b2ead23bcde1a4ea90043ca,2,PMI(10).jpg,data/raw/ECG_HistoryMI/PMI(10).jpg,data/raw/ECG_HistoryMI/PMI(10).jpg | data/raw/ECG_HistoryMI/PMI(96).jpg
18,121c04792b2ead23bcde1a4ea90043ca,2,PMI(96).jpg,data/raw/ECG_HistoryMI/PMI(96).jpg,data/raw/ECG_HistoryMI/PMI(10).jpg | data/raw/ECG_HistoryMI/PMI(96).jpg
19,16a852fbeb46d277275ba2a5daaaff73,2,Normal(110).jpg,data/raw/ECG_Normal/Normal(110).jpg,data/raw/ECG_Normal/Normal(110).jpg | data/raw/ECG_Normal/Normal(252).jpg
19,16a852fbeb46d277275ba2a5daaaff73,2,Normal(252).jpg,data/raw/ECG_Normal/Normal(252).jpg,data/raw/ECG_Normal/Normal(110).jpg | data/raw/ECG_Normal/Normal(252).jpg
20,174ca9e3206bc5b82adc4cba26510b0f,8,MI(101).jpg,data/raw/ECG_MI/MI(101).jpg,data/raw/ECG_MI/MI(101).jpg | data/raw/ECG_MI/MI(11).jpg | data/raw/ECG_MI/MI(131).jpg | data/raw/ECG_MI/MI(161).jpg | data/raw/ECG_MI/MI(191).jpg | data/raw/ECG_MI/MI(221).jpg | data/raw/ECG_MI/MI(41).jpg | data/raw/ECG_MI/MI(71).jpg
20,174ca9e3206bc5b82adc4cba26510b0f,8,MI(11).jpg,data/raw/ECG_MI/MI(11).jpg,data/raw/ECG_MI/MI(101).jpg | data/raw/ECG_MI/MI(11).jpg | data/raw/ECG_MI/MI(131).jpg | data/raw/ECG_MI/MI(161).jpg | data/raw/ECG_MI/MI(191).jpg | data/raw/ECG_MI/MI(221).jpg | data/raw/ECG_MI/MI(41).jpg | data/raw/ECG_MI/MI(71).jpg
20,174ca9e3206bc5b82adc4cba26510b0f,8,MI(131).jpg,data/raw/ECG_MI/MI(131).jpg,data/raw/ECG_MI/MI(101).jpg | data/raw/ECG_MI/MI(11).jpg | data/raw/ECG_MI/MI(131).jpg | data/raw/ECG_MI/MI(161).jpg | data/raw/ECG_MI/MI(191).jpg | data/raw/ECG_MI/MI(221).jpg | data/raw/ECG_MI/MI(41).jpg | data/raw/ECG_MI/MI(71).jpg
