global_rank_accuracy,global_rank_macro_f1,model_rank_accuracy,model_rank_macro_f1,model_name,run_group,input_scheme,run_name,run_dir,completed_epoch,total_epochs,best_epoch,best_val_macro_f1,status,batch_size,learning_rate,min_learning_rate,weight_decay,scheduler,early_stopping,checkpoint_interval,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,test_loss,metrics_path,confusion_matrix_path,confusion_matrix_image_path
1,1,1,1,efficientnet_v2_s,efficientnet,multibranch_13lead_individual,efficientnet_v2_s_multibranch_13lead_individual,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual,50,50,29,1.0,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.993006993006993,0.9928571428571429,0.9916598304621274,0.9907407407407407,0.9928571428571429,0.03197001577287805,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/metrics/test_metrics.json,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/metrics/confusion_matrix.csv,runs/efficientnet/20260622_033048_efficientnet_v2_s_multibranch_13lead_individual/plots/confusion_matrix.png
2,2,1,1,mobilenet_v2,mobilenet,single_clean_image,mobilenet_v2_single_clean_image,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image,50,50,25,0.9204304175627025,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.951048951048951,0.9498168498168498,0.9512345679012345,0.9560897435897435,0.9498168498168498,0.1929881595648252,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/metrics/test_metrics.json,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/metrics/confusion_matrix.csv,runs/mobilenet/20260621_184656_mobilenet_v2_single_clean_image/plots/confusion_matrix.png
3,3,2,2,efficientnet_v2_s,efficientnet,stacked_13lead_individual,efficientnet_v2_s_stacked_13lead_individual,runs/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual,50,50,7,0.9193772893772895,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.9440559440559441,0.9379120879120879,0.938932650519398,0.9456264775413712,0.9379120879120879,0.1939895836611187,runs/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/metrics/test_metrics.json,runs/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/metrics/confusion_matrix.csv,runs/efficientnet/20260622_061523_efficientnet_v2_s_stacked_13lead_individual/plots/confusion_matrix.png
4,4,2,2,mobilenet_v2,mobilenet,multibranch_13lead_individual,mobilenet_v2_multibranch_13lead_individual,runs/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual,50,50,37,0.9916598304621274,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.916083916083916,0.9164835164835166,0.9169666082709561,0.9264835164835166,0.9164835164835166,0.19428708844564177,runs/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/metrics/test_metrics.json,runs/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/metrics/confusion_matrix.csv,runs/mobilenet/20260621_210532_mobilenet_v2_multibranch_13lead_individual/plots/confusion_matrix.png
5,5,3,3,mobilenet_v2,mobilenet,stacked_13lead_individual,mobilenet_v2_stacked_13lead_individual,runs/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual,50,50,42,0.9331171107994389,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.916083916083916,0.9093406593406594,0.9088164251207729,0.9242857142857143,0.9093406593406594,0.49504257165468657,runs/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/metrics/test_metrics.json,runs/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/metrics/confusion_matrix.csv,runs/mobilenet/20260621_231004_mobilenet_v2_stacked_13lead_individual/plots/confusion_matrix.png
6,6,1,1,resnet50,resnet,stacked_13lead_individual,resnet50_stacked_13lead_individual,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual,50,50,14,0.8511959927622578,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.8881118881118881,0.8928571428571428,0.8908570148489504,0.9111111111111111,0.8928571428571428,0.3560293220957233,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual/metrics/test_metrics.json,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual/metrics/confusion_matrix.csv,runs/resnet/20260622_060902_resnet50_stacked_13lead_individual/plots/confusion_matrix.png
7,7,2,2,resnet50,resnet,single_raw_image,resnet50_single_raw_image,runs/resnet/20260622_013326_resnet50_single_raw_image,50,50,9,0.9336908658717169,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.8811188811188811,0.8805860805860806,0.8771459352434195,0.8884863123993558,0.8805860805860806,0.5874049892792335,runs/resnet/20260622_013326_resnet50_single_raw_image/metrics/test_metrics.json,runs/resnet/20260622_013326_resnet50_single_raw_image/metrics/confusion_matrix.csv,runs/resnet/20260622_013326_resnet50_single_raw_image/plots/confusion_matrix.png
8,9,4,4,mobilenet_v2,mobilenet,stacked_12lead_longlead,mobilenet_v2_stacked_12lead_longlead,runs/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead,50,50,21,0.853275171624714,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.8391608391608392,0.8351648351648352,0.8239410387398893,0.8466873706004141,0.8351648351648352,1.2356312158224465,runs/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/metrics/test_metrics.json,runs/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/metrics/confusion_matrix.csv,runs/mobilenet/20260621_215443_mobilenet_v2_stacked_12lead_longlead/plots/confusion_matrix.png
9,8,3,3,efficientnet_v2_s,efficientnet,single_raw_image,efficientnet_v2_s_single_raw_image,runs/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image,50,50,14,0.9153084153084153,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.8321678321678322,0.8353479853479854,0.8304409005628518,0.8671988388969522,0.8353479853479854,0.7631233828467923,runs/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/metrics/test_metrics.json,runs/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/metrics/confusion_matrix.csv,runs/efficientnet/20260622_001937_efficientnet_v2_s_single_raw_image/plots/confusion_matrix.png
10,10,4,4,efficientnet_v2_s,efficientnet,single_clean_image,efficientnet_v2_s_single_clean_image,runs/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image,50,50,7,0.9460028718834981,complete,8,0.0001,1e-06,1e-05,cosine,False,10,0.7902097902097902,0.8045787545787546,0.7987036355457408,0.8378056426332288,0.8045787545787546,0.6466207971106043,runs/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/metrics/test_metrics.json,runs/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/metrics/confusion_matrix.csv,runs/efficientnet/20260622_004141_efficientnet_v2_s_single_clean_image/plots/confusion_matrix.png
